dataset,injector,targets_subdimension,dose,seed,realized_dose,pretraining_score,threshold,risk_level,modality,context,targets_subdimension_post,dimension,model,n_train,n_test,units,downstream_auc,downstream_ece,downstream_brier,evaluator,worst_subgroup_auc,subgroup_auc_gap,n_subgroups_scored
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.0,2,0.0,0.1728,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6730781107290508,0.0020850863426756226,0.09455453364981793,clean held-out test set (no pre-training detector reused),0.4964788732394366,0.2850489045383412,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.03,2,0.0299076676033721,0.174,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6398327895608779,0.0025111655602652353,0.09619995677167806,clean held-out test set (no pre-training detector reused),0.44366197183098594,0.2982824726134586,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.03,2,0.0299076676033721,0.174,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6730582805647075,0.0023017212408899712,0.09452102893605055,clean held-out test set (no pre-training detector reused),0.5528169014084507,0.23621087636932703,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.05,2,0.0499799277398635,0.1752,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6394818618824144,0.002830015429203523,0.09622054084071707,clean held-out test set (no pre-training detector reused),0.43661971830985913,0.30629694835680754,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.05,2,0.0499799277398635,0.1752,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6738030376445711,0.0030403499217775323,0.09460863078269068,clean held-out test set (no pre-training detector reused),0.4894366197183099,0.3108411580594679,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.1,2,0.099959855479727,0.176,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6401401142532256,0.0023305151088228093,0.09620221715669472,clean held-out test set (no pre-training detector reused),0.45774647887323944,0.2861424100156495,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.1,2,0.099959855479727,0.176,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6736957599617901,0.0014919954753169619,0.09455850716841914,clean held-out test set (no pre-training detector reused),0.4894366197183099,0.30334115805946793,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.2,2,0.199919710959454,0.1784,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6396526428419723,0.0028089061264159943,0.0962238568397202,clean held-out test set (no pre-training detector reused),0.43309859154929575,0.30523474178403753,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.2,2,0.199919710959454,0.1784,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6720518120663923,0.0033889924785229573,0.09469454697525838,clean held-out test set (no pre-training detector reused),0.5246478873239437,0.245629890453834,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.3,2,0.3000802890405459,0.1804,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6390218332369045,0.0034158023103069072,0.0962611990967671,clean held-out test set (no pre-training detector reused),0.4507042253521127,0.2929068857589983,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.3,2,0.3000802890405459,0.1804,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6718357684645283,0.0029299897747579167,0.0947391983935143,clean held-out test set (no pre-training detector reused),0.528169014084507,0.268080985915493,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.4,2,0.400040144520273,0.184,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6405122512469511,0.00309947375275512,0.09625873299741404,clean held-out test set (no pre-training detector reused),0.43661971830985913,0.3103247261345853,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.4,2,0.400040144520273,0.184,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6701982877740047,0.0041651894687757315,0.09480716446703015,clean held-out test set (no pre-training detector reused),0.5352112676056338,0.2635387323943662,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.0,3,0.0,0.172,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6463074434084121,0.0027164287350690767,0.09579875334686215,clean held-out test set (no pre-training detector reused),0.4821203953279425,0.24688454468617183,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.0,3,0.0,0.172,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6756987857721556,0.0031408424834465233,0.09401417323681896,clean held-out test set (no pre-training detector reused),0.578796046720575,0.18108398150807703,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.03,3,0.0299633102323685,0.1728,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6464746557175695,0.0035812609350549976,0.09579378906897072,clean held-out test set (no pre-training detector reused),0.48517520215633425,0.24471188323533832,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.03,3,0.0299633102323685,0.1728,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6762965191306075,0.0020037954086747542,0.09397215205531494,clean held-out test set (no pre-training detector reused),0.5718390804597702,0.192451674656673,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.05,3,0.0499388503872808,0.1736,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6464688118577432,0.003126335619851202,0.09579835763846209,clean held-out test set (no pre-training detector reused),0.4837376460017969,0.24350300325720087,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.05,3,0.0499388503872808,0.1736,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324,25442,fraction,0.6768544129486719,0.0013895948193750533,0.09406842713240378,clean held-out test set (no pre-training detector reused),0.5737646001796946,0.1820575593121897,12.0
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.1,3,0.1000815328169588,0.1732,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324,25442,fraction,0.6464104355939871,0.0028369708432924544,0.0958102073881906,clean held-out test set (no pre-training detector reused),0.4828391734052111,0.2433429014007169,12.0
