dataset,modality,context,injector,targets_subdimension,dimension,dose,realized_dose,seed,model,n_train,n_test,units,downstream_auc,downstream_ece,downstream_brier,evaluator,worst_subgroup_auc,subgroup_auc_gap,n_subgroups_scored
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.4,0.4000052408154709,2,xgboost,76324,25442,fraction,0.5691652523097388,0.3100806683068821,0.1946302115607958,clean held-out test set (no pre-training detector reused),0.4535080304311073,0.28343226807635535,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,3,logreg,76324,25442,fraction,0.6463074434084121,0.0027164287350690767,0.09579875334686215,clean held-out test set (no pre-training detector reused),0.4821203953279425,0.24688454468617183,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,3,xgboost,76324,25442,fraction,0.6756987857721556,0.0031408424834465233,0.09401417323681896,clean held-out test set (no pre-training detector reused),0.578796046720575,0.18108398150807703,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.03,0.03000366857082962,3,logreg,76324,25442,fraction,0.6482874522028758,0.024260878502450782,0.09626210690847509,clean held-out test set (no pre-training detector reused),0.4641509433962264,0.28355547862212216,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.03,0.03000366857082962,3,xgboost,76324,25442,fraction,0.6766511712957335,0.024146842838657923,0.0945715176034673,clean held-out test set (no pre-training detector reused),0.5784366576819406,0.17844407626301362,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.05,0.04999737959226456,3,logreg,76324,25442,fraction,0.6479267224235306,0.04028907484363112,0.09729170058883897,clean held-out test set (no pre-training detector reused),0.46882300089847256,0.2836470061586905,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.05,0.04999737959226456,3,xgboost,76324,25442,fraction,0.6734941390059769,0.040035969607233914,0.09579494917386801,clean held-out test set (no pre-training detector reused),0.5833333333333334,0.19066102093625026,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.1,0.09999475918452912,3,logreg,76324,25442,fraction,0.6447297415080029,0.07868180380436508,0.10204629687614578,clean held-out test set (no pre-training detector reused),0.44079065588499544,0.30868005688846956,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.1,0.09999475918452912,3,xgboost,76324,25442,fraction,0.6660085831184728,0.07881031670633908,0.1006710978548989,clean held-out test set (no pre-training detector reused),0.5949367088607594,0.16300259953726448,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.2,0.20000262040773545,3,logreg,76324,25442,fraction,0.6391764228088374,0.1565456982793592,0.12078872810746631,clean held-out test set (no pre-training detector reused),0.40197663971248876,0.38013345203063054,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.2,0.20000262040773545,3,xgboost,76324,25442,fraction,0.6544233959348895,0.1558601940828959,0.11969668531064825,clean held-out test set (no pre-training detector reused),0.4769230769230769,0.2615826702033599,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.3,0.2999973795922646,3,logreg,76324,25442,fraction,0.6277799455467583,0.23397778740769865,0.15173735878303315,clean held-out test set (no pre-training detector reused),0.3730458221024259,0.4124164220754146,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.3,0.2999973795922646,3,xgboost,76324,25442,fraction,0.631266610489772,0.2331043770604867,0.15112774359306053,clean held-out test set (no pre-training detector reused),0.4542577675489068,0.2698071583508814,12.0
diabetes_130,tabular,health,label_flip,label_integrity,content_safety,0.4,0.4000052408154709,3,logreg,76324,25442,fraction,0.5872790204793314,0.31171179097575247,0.19543981998553867,clean held-out test set (no pre-training detector reused),0.3850574712643678,0.3127195223841856,12.0
