dataset,subdimension,dimension,model,outcome_metric,n,pearson_r,ci_low,ci_high,expected_sign,sign_as_predicted,ci_excludes_zero,confirmed,rubric_r2,rubric_rmse,oracle_r2,oracle_rmse,naive_rmse,units
framingham,label_integrity,content_safety,xgboost,downstream_auc,35,-0.8312561965574876,-0.926373465745627,-0.709068268230035,-,True,True,True,0.6909868643152203,0.032183487429846225,0.742504245536533,0.029378503438742775,0.057895476452082456,fraction
framingham,label_integrity,content_safety,xgboost,downstream_ece,35,0.9470932821986369,0.9226624420293859,0.968425232158425,+,True,True,True,0.896985685185787,0.027044801807414,0.963548694412516,0.01608761106278772,0.08426263074851909,fraction
framingham,label_integrity,content_safety,xgboost,downstream_brier,35,0.9091471568942295,0.8734655985274802,0.9446797841834459,+,True,True,True,0.8265485528888613,0.013321582939605383,0.9259523730053565,0.008704071339253938,0.03198651086981435,fraction
framingham,label_integrity,content_safety,xgboost,worst_subgroup_auc,21,0.19066734655734163,-0.22208836557649328,0.5595475765924587,-,False,False,False,0.0,,0.0,,0.09633999823732112,fraction
framingham,label_integrity,content_safety,xgboost,subgroup_auc_gap,21,-0.29485645145569833,-0.5805545516887718,0.07847184291990363,+,False,False,False,0.0,,0.0,,0.17065602224863993,fraction
framingham,measurement_range_violation,physical_safety,logreg,downstream_auc,35,-0.5949636647074736,-0.7612429526742612,-0.372397194329759,-,True,True,True,0.3539817623221465,0.020532984311868875,0.36492356999240294,0.02035835501179494,0.02554639870609894,fraction
framingham,measurement_range_violation,physical_safety,logreg,downstream_ece,35,0.2931281695276071,0.02204648852063067,0.5226207461485478,+,True,True,True,0.08592412377060543,0.00549809892554119,0.08522436427926783,0.005500203023771424,0.005750709452770934,fraction
framingham,measurement_range_violation,physical_safety,logreg,downstream_brier,35,0.7016817143727677,0.5664846613473662,0.8156949413655155,+,True,True,True,0.49235722828510664,0.0017936295345537556,0.5027774813605048,0.0017751253978873804,0.0025174082041832667,fraction
framingham,measurement_range_violation,physical_safety,logreg,worst_subgroup_auc,21,-0.09634652428025764,-0.5089967538605894,0.37077095182114744,-,True,False,False,0.0,,0.0,,0.13517417969642584,fraction
framingham,measurement_range_violation,physical_safety,logreg,subgroup_auc_gap,21,0.11474795757018356,-0.31178652166521664,0.5337450925086429,+,True,False,False,0.0,,0.0,,0.08004539419409427,fraction
framingham,measurement_range_violation,physical_safety,xgboost,downstream_auc,35,0.2902629316205878,-0.08737697359270344,0.5910296685499624,-,False,False,False,0.08425256947297821,0.014874018873971096,0.07826247495404925,0.014922586606956815,0.015543201381082705,fraction
framingham,measurement_range_violation,physical_safety,xgboost,downstream_ece,35,-0.5423970614457836,-0.7339577511024079,-0.2445351064214652,+,False,True,False,0.2941945722650211,0.006912162454368241,0.28610901219477214,0.006951641856563499,0.008227567230611422,fraction
framingham,measurement_range_violation,physical_safety,xgboost,downstream_brier,35,-0.465052144974537,-0.7183941357036945,-0.12956100930007064,+,False,True,False,0.21627349754541758,0.0022794742169515506,0.20732765308274848,0.0022924468297789414,0.0025748528683391895,fraction
framingham,measurement_range_violation,physical_safety,xgboost,worst_subgroup_auc,21,0.07736799687302053,-0.33954371748936757,0.5058503098261123,-,False,False,False,0.0,,0.0,,0.10600007267455154,fraction
framingham,measurement_range_violation,physical_safety,xgboost,subgroup_auc_gap,21,-0.12998343087556738,-0.4883334081986678,0.36081710692409574,+,False,False,False,0.0,,0.0,,0.12774320847997714,fraction
framingham,representation_imbalance,content_safety,logreg,downstream_auc,35,-0.08190811676599996,-0.42015233275687114,0.2592748774849531,-,True,False,False,0.006708939592152241,0.017011557548864926,1.738118315941506e-07,0.017068909569237102,0.017068911052626513,fraction
framingham,representation_imbalance,content_safety,logreg,downstream_ece,35,-0.06358616577779992,-0.4071930730114937,0.25816233884424195,+,False,False,False,0.004043200478321629,0.0036063350925844644,0.00023641231834037324,0.003613220662462934,0.0036136478431442517,fraction
framingham,representation_imbalance,content_safety,logreg,downstream_brier,35,0.0726318539820789,-0.26746116202404446,0.40445996446598964,+,True,False,False,0.005275386212873379,0.002019425179276792,0.00016977595500466958,0.0020246010850501405,0.0020247729712284143,fraction
framingham,representation_imbalance,content_safety,logreg,worst_subgroup_auc,21,0.20818797776697437,-0.18123045972780197,0.6132714959902775,-,False,False,False,0.0,,0.0,,0.1074690815205162,fraction
framingham,representation_imbalance,content_safety,logreg,subgroup_auc_gap,21,-0.21112560491375565,-0.5959187916589281,0.24016842145410705,+,False,False,False,0.0,,0.0,,0.08321158869201564,fraction
framingham,representation_imbalance,content_safety,xgboost,downstream_auc,35,-0.020226819208222977,-0.3735955663787681,0.3446445235171714,-,True,False,False,0.0004091242152820529,0.015140072414375429,7.147473744972821e-06,0.01514311633233855,0.015143170450141857,fraction
framingham,representation_imbalance,content_safety,xgboost,downstream_ece,35,-0.06624664793398108,-0.4043508428747226,0.29809617794360227,+,False,False,False,0.0043886183624887165,0.009957529555125159,0.004111508110478002,0.009958915206996712,0.00997945163583166,fraction
framingham,representation_imbalance,content_safety,xgboost,downstream_brier,35,0.02993945199527219,-0.3264068192285908,0.383592940143596,+,True,False,False,0.000896370785778644,0.0025244018595583615,0.0006208966412646344,0.002524749851245253,0.002525534020781662,fraction
framingham,representation_imbalance,content_safety,xgboost,worst_subgroup_auc,21,-0.009093210605959218,-0.47485023777638113,0.4388702712344574,-,True,False,False,0.0,,0.0,,0.10369748448482573,fraction
framingham,representation_imbalance,content_safety,xgboost,subgroup_auc_gap,21,-0.18880073792726196,-0.5874861108942377,0.25745776023915573,+,False,False,False,0.0,,0.0,,0.18480426279379536,fraction
framingham,safety_critical_edge_case_coverage,physical_safety,logreg,downstream_auc,35,-0.09120771232788413,-0.4030072876158643,0.20869479209227215,-,True,False,False,0.008318846788086476,0.016974741794959294,0.00033949929387000477,0.01704289676174269,0.017045790524294353,fraction
framingham,safety_critical_edge_case_coverage,physical_safety,logreg,downstream_ece,35,0.16917564712622832,-0.28861998965839714,0.5374312666659816,+,True,False,False,0.02862039958057816,0.005322437864057932,0.02502341637126826,0.005332283154874204,0.005400277916440717,fraction
framingham,safety_critical_edge_case_coverage,physical_safety,logreg,downstream_brier,35,0.09003163160663936,-0.23852329448579823,0.4160693224574322,+,True,False,False,0.008105694689754195,0.00216642573127543,0.000958186731247479,0.002174217262107411,0.0021752596643449503,fraction
framingham,safety_critical_edge_case_coverage,physical_safety,logreg,worst_subgroup_auc,21,0.0070685880059301095,-0.355399562357883,0.44303306712722085,-,False,False,False,0.0,,0.0,,0.09131541582688264,fraction
framingham,safety_critical_edge_case_coverage,physical_safety,logreg,subgroup_auc_gap,21,-0.25878329487440777,-0.5583633027461025,0.12230755982991066,+,False,False,False,0.0,,0.0,,0.08136016388339566,fraction
framingham,safety_critical_edge_case_coverage,physical_safety,xgboost,downstream_auc,35,-0.18075441594317404,-0.4656101735337024,0.12134397565155888,-,True,False,False,0.032672158882957714,0.013198865268705411,0.012153484374281098,0.013338115937338567,0.013419914592928383,fraction
framingham,safety_critical_edge_case_coverage,physical_safety,xgboost,downstream_ece,35,0.07359827918006685,-0.26222304869497565,0.3849824339884214,+,True,False,False,0.005416706698267215,0.0067381789316682235,0.0015151493591311072,0.0067513822802664,0.006756502776006121,fraction
framingham,safety_critical_edge_case_coverage,physical_safety,xgboost,downstream_brier,35,0.2260126361915768,-0.10035684562788039,0.5102998325388238,+,True,False,False,0.051081711718267586,0.002332510403696426,0.015487511240459106,0.0023758542565275108,0.0023944687921422804,fraction
framingham,safety_critical_edge_case_coverage,physical_safety,xgboost,worst_subgroup_auc,21,-0.1585704598596186,-0.5116323927196406,0.24445285409858472,-,True,False,False,0.0,,0.0,,0.11678811302490237,fraction
framingham,safety_critical_edge_case_coverage,physical_safety,xgboost,subgroup_auc_gap,21,-0.21780704156096287,-0.5264494452892879,0.2184795790490094,+,False,False,False,0.0,,0.0,,0.15294713990609746,fraction
german_credit,label_integrity,content_safety,logreg,downstream_auc,35,-0.8285289512148093,-0.9005502157182298,-0.7438545280776221,-,True,True,True,0.6864602230011119,0.031178273170744477,0.7762349397043,0.026339157099846668,0.05568083446937786,fraction
german_credit,label_integrity,content_safety,logreg,downstream_ece,35,0.848135762984377,0.7603005533732642,0.9143484070584584,+,True,True,True,0.7193342724530912,0.021703859865027646,0.8353014838492708,0.016625975188777797,0.04096776624773968,fraction
german_credit,label_integrity,content_safety,logreg,downstream_brier,35,0.8714230365643657,0.813511844592705,0.9287185545134976,+,True,True,True,0.7593781086550597,0.011160795629455864,0.8616794140468376,0.008461960575040887,0.022752419557752774,fraction
german_credit,label_integrity,content_safety,logreg,worst_subgroup_auc,35,-0.705837614111863,-0.8517411497437266,-0.5372321316616204,-,True,True,True,0.498206737495127,0.05426586082308631,0.5675452829892063,0.05037726699656089,0.07660626416315122,fraction
