dataset,modality,context,injector,targets_subdimension,dimension,dose,realized_dose,seed,model,n_train,n_test,units,downstream_auc,downstream_ece,downstream_brier,evaluator,worst_subgroup_auc,subgroup_auc_gap,n_subgroups_scored
framingham,tabular,health,label_flip,label_integrity,content_safety,0.3,0.3,2,xgboost,3180,1060,fraction,0.5670966360137903,0.19129302448259208,0.1697858000887519,clean held-out test set (no pre-training detector reused),0.3645833333333333,0.11817528735632182,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.4,0.4,2,logreg,3180,1060,fraction,0.6723274307546687,0.2678143761142436,0.19606167097904426,clean held-out test set (no pre-training detector reused),0.375,0.02155172413793105,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.4,0.4,2,xgboost,3180,1060,fraction,0.5418926481459732,0.27272081623943345,0.20839085659971532,clean held-out test set (no pre-training detector reused),0.29166666666666663,0.07040229885057475,2.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,3,logreg,3180,1060,fraction,0.729520032610423,0.021185470072769278,0.11480518952332386,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,3,xgboost,3180,1060,fraction,0.6646515451951444,0.05120232785318291,0.12731302750955073,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.03,0.029874213836477988,3,logreg,3180,1060,fraction,0.7272815205300576,0.0255527085566131,0.11564059042701336,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.03,0.029874213836477988,3,xgboost,3180,1060,fraction,0.6649900856023601,0.043354479274009615,0.12586977185692638,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.05,0.05,3,logreg,3180,1060,fraction,0.7291331292878906,0.040714373256487905,0.11666648029890837,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.05,0.05,3,xgboost,3180,1060,fraction,0.6516902838903129,0.05030179689155084,0.12836607801554062,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.1,0.1,3,logreg,3180,1060,fraction,0.7312749155376228,0.07405781203319789,0.12043062370202826,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.1,0.1,3,xgboost,3180,1060,fraction,0.6220438168012767,0.0781880711679751,0.13459650600398082,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.2,0.2,3,logreg,3180,1060,fraction,0.7290985843483788,0.14674607754675886,0.13780863412996913,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.2,0.2,3,xgboost,3180,1060,fraction,0.6132003122862532,0.13742835216294483,0.14957440314090434,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.3,0.3,3,logreg,3180,1060,fraction,0.7160820511403285,0.2155784309844349,0.16582667219822086,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.3,0.3,3,xgboost,3180,1060,fraction,0.6182438734549777,0.20915124429003248,0.17333424583181223,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.4,0.4,3,logreg,3180,1060,fraction,0.4496507506615356,0.2767822830895538,0.207609867181092,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.4,0.4,3,xgboost,3180,1060,fraction,0.48467241033860947,0.284898301199922,0.2253154880711989,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,4,logreg,3180,1060,fraction,0.7265284408487,0.012846316746577904,0.11644470684679588,clean held-out test set (no pre-training detector reused),0.7407407407407407,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,4,xgboost,3180,1060,fraction,0.6864217660754875,0.044603066677381384,0.12535701979180153,clean held-out test set (no pre-training detector reused),0.49074074074074076,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.03,0.029874213836477988,4,logreg,3180,1060,fraction,0.7240550231796544,0.02881929049607166,0.11684373165910972,clean held-out test set (no pre-training detector reused),0.6203703703703703,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.03,0.029874213836477988,4,xgboost,3180,1060,fraction,0.6527300865696185,0.055359488156325416,0.1279460129069158,clean held-out test set (no pre-training detector reused),0.40740740740740744,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.05,0.05,4,logreg,3180,1060,fraction,0.7263142622237269,0.0381210161955879,0.11747673946057977,clean held-out test set (no pre-training detector reused),0.7685185185185185,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.05,0.05,4,xgboost,3180,1060,fraction,0.6665307899045868,0.02993223416742007,0.12786625170906096,clean held-out test set (no pre-training detector reused),0.5462962962962963,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.1,0.1,4,logreg,3180,1060,fraction,0.7235092131353679,0.08534993616801809,0.123075573058164,clean held-out test set (no pre-training detector reused),0.5555555555555556,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.1,0.1,4,xgboost,3180,1060,fraction,0.6132555841894721,0.07249302587928777,0.13581626965749277,clean held-out test set (no pre-training detector reused),0.3611111111111111,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.2,0.2,4,logreg,3180,1060,fraction,0.7120679291690559,0.13796270128003124,0.1368126651022124,clean held-out test set (no pre-training detector reused),0.5185185185185186,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.2,0.2,4,xgboost,3180,1060,fraction,0.65647821250665,0.12260546097356195,0.14245382799951567,clean held-out test set (no pre-training detector reused),0.6018518518518519,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.3,0.3,4,logreg,3180,1060,fraction,0.6901457105548608,0.22647601868009745,0.17271597757031296,clean held-out test set (no pre-training detector reused),0.4351851851851852,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.3,0.3,4,xgboost,3180,1060,fraction,0.6329254727474971,0.22821940573037797,0.18086165962902684,clean held-out test set (no pre-training detector reused),0.37962962962962965,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.4,0.4,4,logreg,3180,1060,fraction,0.5826694947457147,0.27931873711794747,0.2039514842073241,clean held-out test set (no pre-training detector reused),0.4537037037037038,0.0,1.0
framingham,tabular,health,label_flip,label_integrity,content_safety,0.4,0.4,4,xgboost,3180,1060,fraction,0.5289037508895321,0.2806635579972897,0.21940672120341942,clean held-out test set (no pre-training detector reused),0.49074074074074076,0.0,1.0
