dataset,modality,context,risk_level,injector,targets_subdimension,is_target,dose,realized_dose,seed,dimension,subdimension,pretraining_score,n_records,n_flagged,threshold,exceeds_threshold,detector,units
civilcomments,text,general,medium,threat_injection,threat_density,False,0.2,0.2,1,physical_safety,physical_harm_enablement,0.0009,10000,9,0.02,False,rule-based hazard lexicon x actionability,fraction
civilcomments,text,general,medium,threat_injection,threat_density,True,0.2,0.2,1,physical_safety,threat_density,0.1117,10000,1117,0.02,True,Detoxify (threat head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.3,0.3,1,content_safety,harm_content_density,0.2533,10000,2533,0.05,True,Detoxify (toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.3,0.3,1,content_safety,identity_attack_density,0.0146,10000,146,0.02,False,Detoxify (identity_attack head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.3,0.3,1,content_safety,severe_toxicity_density,0.0003,10000,3,0.005,False,Detoxify (severe_toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.3,0.3,1,physical_safety,physical_harm_enablement,0.0008,10000,8,0.02,False,rule-based hazard lexicon x actionability,fraction
civilcomments,text,general,medium,threat_injection,threat_density,True,0.3,0.3,1,physical_safety,threat_density,0.1646,10000,1646,0.02,True,Detoxify (threat head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.4,0.4,1,content_safety,harm_content_density,0.3338,10000,3338,0.05,True,Detoxify (toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.4,0.4,1,content_safety,identity_attack_density,0.019,10000,190,0.02,False,Detoxify (identity_attack head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.4,0.4,1,content_safety,severe_toxicity_density,0.0003,10000,3,0.005,False,Detoxify (severe_toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.4,0.4,1,physical_safety,physical_harm_enablement,0.001,10000,10,0.02,False,rule-based hazard lexicon x actionability,fraction
civilcomments,text,general,medium,threat_injection,threat_density,True,0.4,0.4,1,physical_safety,threat_density,0.2204,10000,2204,0.02,True,Detoxify (threat head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.0,0.0,2,content_safety,harm_content_density,0.0057,10000,57,0.05,False,Detoxify (toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.0,0.0,2,content_safety,identity_attack_density,0.0001,10000,1,0.02,False,Detoxify (identity_attack head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.0,0.0,2,content_safety,severe_toxicity_density,0.0,10000,0,0.005,False,Detoxify (severe_toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.0,0.0,2,physical_safety,physical_harm_enablement,0.0012,10000,12,0.02,False,rule-based hazard lexicon x actionability,fraction
civilcomments,text,general,medium,threat_injection,threat_density,True,0.0,0.0,2,physical_safety,threat_density,0.0,10000,0,0.02,False,Detoxify (threat head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.03,0.03,2,content_safety,harm_content_density,0.0303,10000,303,0.05,False,Detoxify (toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.03,0.03,2,content_safety,identity_attack_density,0.0011,10000,11,0.02,False,Detoxify (identity_attack head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.03,0.03,2,content_safety,severe_toxicity_density,0.0,10000,0,0.005,False,Detoxify (severe_toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.03,0.03,2,physical_safety,physical_harm_enablement,0.0013,10000,13,0.02,False,rule-based hazard lexicon x actionability,fraction
civilcomments,text,general,medium,threat_injection,threat_density,True,0.03,0.03,2,physical_safety,threat_density,0.0176,10000,176,0.02,False,Detoxify (threat head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.05,0.05,2,content_safety,harm_content_density,0.0469,10000,469,0.05,False,Detoxify (toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.05,0.05,2,content_safety,identity_attack_density,0.0019,10000,19,0.02,False,Detoxify (identity_attack head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.05,0.05,2,content_safety,severe_toxicity_density,0.0,10000,0,0.005,False,Detoxify (severe_toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.05,0.05,2,physical_safety,physical_harm_enablement,0.0013,10000,13,0.02,False,rule-based hazard lexicon x actionability,fraction
civilcomments,text,general,medium,threat_injection,threat_density,True,0.05,0.05,2,physical_safety,threat_density,0.0275,10000,275,0.02,True,Detoxify (threat head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.1,0.1,2,content_safety,harm_content_density,0.0884,10000,884,0.05,True,Detoxify (toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.1,0.1,2,content_safety,identity_attack_density,0.0045,10000,45,0.02,False,Detoxify (identity_attack head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.1,0.1,2,content_safety,severe_toxicity_density,0.0001,10000,1,0.005,False,Detoxify (severe_toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.1,0.1,2,physical_safety,physical_harm_enablement,0.0013,10000,13,0.02,False,rule-based hazard lexicon x actionability,fraction
civilcomments,text,general,medium,threat_injection,threat_density,True,0.1,0.1,2,physical_safety,threat_density,0.0548,10000,548,0.02,True,Detoxify (threat head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.2,0.2,2,content_safety,harm_content_density,0.1683,10000,1683,0.05,True,Detoxify (toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.2,0.2,2,content_safety,identity_attack_density,0.0098,10000,98,0.02,False,Detoxify (identity_attack head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.2,0.2,2,content_safety,severe_toxicity_density,0.0001,10000,1,0.005,False,Detoxify (severe_toxicity head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.2,0.2,2,physical_safety,physical_harm_enablement,0.0012,10000,12,0.02,False,rule-based hazard lexicon x actionability,fraction
civilcomments,text,general,medium,threat_injection,threat_density,True,0.2,0.2,2,physical_safety,threat_density,0.1076,10000,1076,0.02,True,Detoxify (threat head),fraction
civilcomments,text,general,medium,threat_injection,threat_density,False,0.3,0.3,2,content_safety,harm_content_density,0.2492,10000,2492,0.05,True,Detoxify (toxicity head),fraction
