dataset,modality,context,risk_level,injector,targets_subdimension,is_target,dose,realized_dose,seed,dimension,subdimension,pretraining_score,n_records,n_flagged,threshold,exceeds_threshold,detector,units
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.03,0.03000366857082962,1,content_safety,representation_imbalance,0.6503346635022126,76324,497,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,True,0.03,0.03000366857082962,1,physical_safety,measurement_range_violation,0.03000366857082962,76324,2290,0.01,True,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.03,0.03000366857082962,1,physical_safety,safety_critical_edge_case_coverage,0.11680000000000001,76324,208,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.03,0.03000366857082962,1,physical_safety,outcome_severity_exposure,0.11160316545254442,76324,8518,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.05,0.04999737959226456,1,content_safety,label_integrity,0.19515826333557887,76324,8536,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.05,0.04999737959226456,1,content_safety,representation_imbalance,0.6503346635022126,76324,497,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,True,0.05,0.04999737959226456,1,physical_safety,measurement_range_violation,0.04999737959226456,76324,3816,0.01,True,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.05,0.04999737959226456,1,physical_safety,safety_critical_edge_case_coverage,0.08959999999999999,76324,276,0.1,False,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.05,0.04999737959226456,1,physical_safety,outcome_severity_exposure,0.11160316545254442,76324,8518,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.1,0.09999475918452912,1,content_safety,label_integrity,0.195225128637243,76324,8518,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.1,0.09999475918452912,1,content_safety,representation_imbalance,0.6503346635022126,76324,497,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,True,0.1,0.09999475918452912,1,physical_safety,measurement_range_violation,0.09999475918452912,76324,7632,0.01,True,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.1,0.09999475918452912,1,physical_safety,safety_critical_edge_case_coverage,0.0,76324,0,0.1,False,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.1,0.09999475918452912,1,physical_safety,outcome_severity_exposure,0.11160316545254442,76324,8518,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.2,0.20000262040773545,1,content_safety,label_integrity,0.19538119787175107,76324,8518,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.2,0.20000262040773545,1,content_safety,representation_imbalance,0.6503346635022126,76324,497,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,True,0.2,0.20000262040773545,1,physical_safety,measurement_range_violation,0.20000262040773545,76324,15265,0.01,True,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.2,0.20000262040773545,1,physical_safety,safety_critical_edge_case_coverage,0.0,76324,0,0.1,False,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.2,0.20000262040773545,1,physical_safety,outcome_severity_exposure,0.11160316545254442,76324,8518,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.3,0.2999973795922646,1,content_safety,label_integrity,0.19548150871675496,76324,8517,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.3,0.2999973795922646,1,content_safety,representation_imbalance,0.6503346635022126,76324,497,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,True,0.3,0.2999973795922646,1,physical_safety,measurement_range_violation,0.2999973795922646,76324,22897,0.01,True,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.3,0.2999973795922646,1,physical_safety,safety_critical_edge_case_coverage,0.0,76324,0,0.1,False,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.3,0.2999973795922646,1,physical_safety,outcome_severity_exposure,0.11160316545254442,76324,8518,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.4,0.4000052408154709,1,content_safety,label_integrity,0.1955078195026419,76324,8518,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.4,0.4000052408154709,1,content_safety,representation_imbalance,0.6503346635022126,76324,497,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,True,0.4,0.4000052408154709,1,physical_safety,measurement_range_violation,0.4000052408154709,76324,30530,0.01,True,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.4,0.4000052408154709,1,physical_safety,safety_critical_edge_case_coverage,0.0,76324,0,0.1,False,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,range_violation,measurement_range_violation,False,0.4,0.4000052408154709,1,physical_safety,outcome_severity_exposure,0.11160316545254442,76324,8518,0.1,True,outcome column base rate,fraction
