dataset,subdimension,dimension,model,outcome_metric,n,pearson_r,ci_low,ci_high,expected_sign,sign_as_predicted,ci_excludes_zero,confirmed,rubric_r2,rubric_rmse,oracle_r2,oracle_rmse,naive_rmse,units
framingham,measurement_range_violation,physical_safety,logreg,downstream_ece,35,-0.12985889665695563,-0.4099851554988492,0.19271716495759392,+,False,False,False,0.01686333304096177,0.005122775602290731,0.013890100313855402,0.005130515983813885,0.005166523219976801,fraction
framingham,measurement_range_violation,physical_safety,logreg,downstream_brier,35,0.255967428453905,-0.07122023496974299,0.5500199427429773,+,True,False,False,0.06551932442930375,0.0022360346268979494,0.07331353105683214,0.0022266900736569563,0.002313094426943484,fraction
framingham,measurement_range_violation,physical_safety,logreg,worst_subgroup_auc,21,-0.07516162301910659,-0.4996170562856176,0.3915591904339627,-,True,False,False,0.0,,0.0,,0.1256501067589637,fraction
framingham,measurement_range_violation,physical_safety,logreg,subgroup_auc_gap,21,0.15908754779443843,-0.3557393974047476,0.6022176463496847,+,True,False,False,0.0,,0.0,,0.08544469621428563,fraction
framingham,measurement_range_violation,physical_safety,xgboost,downstream_auc,35,0.3532041143171284,-0.009601848320196163,0.6545959469951156,-,False,False,False,0.12475314637054713,0.013908312155718066,0.11684577041476274,0.013970997882679182,0.014866514207604275,fraction
framingham,measurement_range_violation,physical_safety,xgboost,downstream_ece,35,-0.5372971158938589,-0.7669150962635264,-0.2542019954132488,+,False,True,False,0.28868819074785856,0.00718471424208794,0.2770301175562577,0.007243352036857831,0.008518820947308674,fraction
framingham,measurement_range_violation,physical_safety,xgboost,downstream_brier,35,-0.5327264289865853,-0.7534062588163875,-0.24374080749703342,+,False,True,False,0.28379744814079944,0.0019432323981254727,0.2722772022930914,0.0019587986712099664,0.0022961846560114922,fraction
framingham,measurement_range_violation,physical_safety,xgboost,worst_subgroup_auc,21,0.0018341726232810334,-0.42735445831741187,0.5180032746176519,-,False,False,False,0.0,,0.0,,0.11389981651203264,fraction
framingham,measurement_range_violation,physical_safety,xgboost,subgroup_auc_gap,21,0.03086060782444111,-0.4357265200338266,0.5390719128919687,+,True,False,False,0.0,,0.0,,0.16678684489347734,fraction
framingham,representation_imbalance,content_safety,logreg,downstream_auc,35,0.20691337049292574,-0.06224355364650431,0.43532728231437234,-,False,False,False,0.04281314288874305,0.01565917402423628,6.384157755112696e-05,0.016005034833956534,0.016005545751756292,fraction
framingham,representation_imbalance,content_safety,logreg,downstream_ece,35,-0.012209840792976425,-0.31759344143450097,0.3168730635300033,+,False,False,False,0.00014908021218973388,0.004381185474603654,0.00713945127315363,0.004365843272358201,0.0043815120851525835,fraction
framingham,representation_imbalance,content_safety,logreg,downstream_brier,35,-0.3271734824299702,-0.5495806204265686,-0.05978792506521989,+,False,True,False,0.10704248760535451,0.0018180003490668633,1.6037052138373475e-05,0.0019238671635428265,0.0019238825903073811,fraction
framingham,representation_imbalance,content_safety,logreg,worst_subgroup_auc,21,-0.1752591497515083,-0.5540844920776694,0.295172942041206,-,True,False,False,0.0,,0.0,,0.11095674080787808,fraction
framingham,representation_imbalance,content_safety,logreg,subgroup_auc_gap,21,0.1526050337439554,-0.28256028987863885,0.5501687423944189,+,True,False,False,0.0,,0.0,,0.094194449450875,fraction
framingham,representation_imbalance,content_safety,xgboost,downstream_auc,35,-0.09448204118388932,-0.36377508466780945,0.17563469990655062,-,True,False,False,0.00892685610627364,0.014623561700071975,0.004594504711869618,0.01465548937502522,0.01468927319212461,fraction
framingham,representation_imbalance,content_safety,xgboost,downstream_ece,35,0.10344390889222509,-0.13070830526125585,0.3868516157983813,+,True,False,False,0.010700642286902706,0.008902460858280779,0.003305528101001043,0.00893567231316239,0.008950477585689296,fraction
framingham,representation_imbalance,content_safety,xgboost,downstream_brier,35,0.20250954171869162,-0.057992970446510514,0.4470010921159882,+,True,False,False,0.04101011448711367,0.002206802034075906,2.264133733209661e-05,0.0022534682613293403,0.002253493772530083,fraction
framingham,representation_imbalance,content_safety,xgboost,worst_subgroup_auc,21,-0.3485874894630878,-0.7175433200467669,0.13819649764784733,-,True,False,False,0.0,,0.0,,0.11636377786565204,fraction
framingham,representation_imbalance,content_safety,xgboost,subgroup_auc_gap,21,0.2161686933792136,-0.28428156120581355,0.6384388607725133,+,True,False,False,0.0,,0.0,,0.18002123315146296,fraction
framingham,safety_critical_edge_case_coverage,physical_safety,logreg,downstream_auc,35,-0.07776389450257062,-0.3990923315497244,0.21492528555488755,-,True,False,False,0.006047223288206283,0.015794448224045948,0.00047703368138607427,0.015838643058329674,0.01584242219356767,fraction
framingham,safety_critical_edge_case_coverage,physical_safety,logreg,downstream_ece,35,0.09368928026353965,-0.2902998495855979,0.4808081439371468,+,True,False,False,0.008777681236300072,0.004945914934706381,0.002081657498853584,0.004962592435148025,0.004967765722187582,fraction
framingham,safety_critical_edge_case_coverage,physical_safety,logreg,downstream_brier,35,0.08053275730193335,-0.2526007442906209,0.41263881287352244,+,True,False,False,0.006485524998651293,0.0020313530339667973,0.0012033493957765984,0.002036745879068784,0.0020379724446315194,fraction
framingham,safety_critical_edge_case_coverage,physical_safety,logreg,worst_subgroup_auc,21,0.02634247644926082,-0.3368704127804344,0.45355397365879196,-,False,False,False,0.0,,0.0,,0.09480383387373488,fraction
framingham,safety_critical_edge_case_coverage,physical_safety,logreg,subgroup_auc_gap,21,-0.2669721495657142,-0.5695832280872305,0.12622802839622052,+,False,False,False,0.0,,0.0,,0.09305838484867869,fraction
framingham,safety_critical_edge_case_coverage,physical_safety,xgboost,downstream_auc,35,-0.24989659475639175,-0.5281532105990236,0.025438914261658875,-,True,False,False,0.062448308070839675,0.012527854286988544,0.021811172859907968,0.012796477325380412,0.012938355578276724,fraction
framingham,safety_critical_edge_case_coverage,physical_safety,xgboost,downstream_ece,35,0.2760969306734907,-0.09325247641454656,0.6036793707527889,+,True,False,False,0.07622951512732257,0.007771045452056776,0.03909796535907839,0.007925687863108655,0.008085323630502282,fraction
framingham,safety_critical_edge_case_coverage,physical_safety,xgboost,downstream_brier,35,0.37205672307425147,0.0779112007512856,0.609013978233391,+,True,True,True,0.13842620518475146,0.002206510600973959,0.06440405240693825,0.0022993439667781082,0.002377167465189118,fraction
framingham,safety_critical_edge_case_coverage,physical_safety,xgboost,worst_subgroup_auc,21,-0.07743692590635043,-0.4381699063621492,0.3201539566643523,-,True,False,False,0.0,,0.0,,0.10564201649889997,fraction
framingham,safety_critical_edge_case_coverage,physical_safety,xgboost,subgroup_auc_gap,21,-0.23931983297364307,-0.5688259183360338,0.2150407483020574,+,False,False,False,0.0,,0.0,,0.14530805062007895,fraction
german_credit,label_integrity,content_safety,logreg,downstream_auc,35,-0.8285289512148102,-0.9005502157182301,-0.7438545280776221,-,True,True,True,0.6864602230011132,0.031178273170744415,0.7762349397043,0.026339157099846668,0.05568083446937786,fraction
german_credit,label_integrity,content_safety,logreg,downstream_ece,35,0.8481357629843771,0.7603005533732647,0.9143484070584584,+,True,True,True,0.7193342724530913,0.021703859865027646,0.8353014838492708,0.016625975188777797,0.04096776624773968,fraction
german_credit,label_integrity,content_safety,logreg,downstream_brier,35,0.8714230365643663,0.8135118445927064,0.9287185545134977,+,True,True,True,0.7593781086550608,0.01116079562945584,0.8616794140468376,0.008461960575040887,0.022752419557752774,fraction
german_credit,label_integrity,content_safety,logreg,worst_subgroup_auc,35,-0.7058376141118636,-0.8517411497437273,-0.5372321316616226,-,True,True,True,0.4982067374951281,0.054265860823086244,0.5675452829892063,0.05037726699656089,0.07660626416315122,fraction
german_credit,label_integrity,content_safety,logreg,subgroup_auc_gap,35,0.3968335477543399,0.1230196925914504,0.651568422496066,+,True,True,True,0.1574768646232959,0.04588364632477473,0.18679598683160226,0.045078220387482396,0.04998814327124796,fraction
german_credit,label_integrity,content_safety,xgboost,downstream_auc,35,-0.8950222015653351,-0.9434823703540008,-0.8317609353410849,-,True,True,True,0.8010647412948593,0.03468950791318244,0.8316129985412642,0.031915124237470484,0.07777540077545583,fraction
german_credit,label_integrity,content_safety,xgboost,downstream_ece,35,0.8269063182389298,0.7082215429717063,0.9076053329355724,+,True,True,True,0.6837740591434622,0.023636381266654693,0.8058699030057874,0.018519475209522192,0.04203221143239006,fraction
german_credit,label_integrity,content_safety,xgboost,downstream_brier,35,0.8932245502645436,0.8288288303325758,0.9438237838441847,+,True,True,True,0.7978500971952963,0.014730577802232128,0.8700501887195913,0.011810569521417213,0.032762951114165224,fraction
german_credit,label_integrity,content_safety,xgboost,worst_subgroup_auc,35,-0.7504791097948866,-0.872376714457372,-0.5718617101066306,-,True,True,True,0.5632188942385254,0.06959549278395603,0.5765366136597843,0.06852627513822483,0.1053050485206138,fraction
german_credit,label_integrity,content_safety,xgboost,subgroup_auc_gap,35,0.18138379892540016,-0.19432704031288786,0.48277006585216853,+,True,False,False,0.03290008251261012,0.07052272132986544,0.03916547986676211,0.07029390793023858,0.07171225668870684,fraction
german_credit,representation_imbalance,content_safety,logreg,downstream_auc,35,0.0959715823860548,-0.23122057382532202,0.4108057081915744,-,False,False,False,0.009210544625683381,0.012101921753206207,3.364375129155661e-06,0.012158021921308588,0.012158042373433481,fraction
german_credit,representation_imbalance,content_safety,logreg,downstream_ece,35,0.4398504248458876,0.11379990418344967,0.6729775515793275,+,True,True,True,0.193468396237108,0.011302624024404951,0.0447799434585876,0.012300430251593436,0.01258544529862146,fraction
german_credit,representation_imbalance,content_safety,logreg,downstream_brier,35,0.019991322217527186,-0.3151822187733926,0.35363672430161885,+,True,False,False,0.00039965296400501504,0.003979350841021075,0.003544159364866628,0.003973086862348984,0.003980146259126635,fraction
german_credit,representation_imbalance,content_safety,logreg,worst_subgroup_auc,35,0.15020600932324704,-0.1527026068236744,0.4845573999225766,-,False,False,False,0.022561845236815814,0.023901958219826002,0.03178357303402202,0.02378893843168084,0.02417624449043915,fraction
german_credit,representation_imbalance,content_safety,logreg,subgroup_auc_gap,35,0.05486072751309965,-0.2699809177043854,0.38398118393756053,+,True,False,False,0.0030096994232664542,0.028342608951049775,0.02663192191674779,0.02800482788135662,0.02838535683590791,fraction
german_credit,representation_imbalance,content_safety,xgboost,downstream_auc,35,0.035732881603166206,-0.2355251203455411,0.3136748126506924,-,False,False,False,0.001276838827665605,0.011718743274808475,0.014217509769928971,0.011642574597510657,0.011726231920129209,fraction
german_credit,representation_imbalance,content_safety,xgboost,downstream_ece,35,0.22014735678021222,-0.08922901011690598,0.4882220126480494,+,True,False,False,0.048464858697313984,0.012085079628895455,0.0068362059921256435,0.012346604592052203,0.012389024174278005,fraction
german_credit,representation_imbalance,content_safety,xgboost,downstream_brier,35,0.08787762566450086,-0.1932923479886677,0.36771498404499187,+,True,False,False,0.007722477092430791,0.005054150177649328,0.010371122397959232,0.005047400253417985,0.005073779219198428,fraction
german_credit,representation_imbalance,content_safety,xgboost,worst_subgroup_auc,35,-0.05532141151620641,-0.3541118141604625,0.24545576112238163,-,True,False,False,0.0030604585721454303,0.056933817396239796,0.00024102716295681947,0.05701426744096471,0.05702113967685098,fraction
german_credit,representation_imbalance,content_safety,xgboost,subgroup_auc_gap,35,0.020399423455747363,-0.276202735759909,0.3173608375559238,+,True,False,False,0.0004161364773267451,0.04893790196150017,0.002053629465914253,0.04889780111546407,0.04894808756362588,fraction
german_credit,safety_critical_edge_case_coverage,physical_safety,logreg,downstream_auc,35,-0.40486953953951055,-0.6343034961051937,-0.02221985855632607,-,True,True,True,0.16391934404693542,0.019569665282347486,0.35864998758042455,0.017139843951556235,0.021402243943866136,fraction
german_credit,safety_critical_edge_case_coverage,physical_safety,logreg,downstream_ece,35,0.6272429135496093,0.3115377047519514,0.8293063746725733,+,True,True,True,0.3934336725982025,0.016912027108118517,0.36430451671757114,0.017313348866714193,0.021714834181808466,fraction
german_credit,safety_critical_edge_case_coverage,physical_safety,logreg,downstream_brier,35,0.5906892519706931,0.326957311806463,0.7390070211520146,+,True,True,True,0.3489137923936968,0.009156513052376025,0.45677279206033183,0.008363761267499204,0.01134777904772816,fraction
german_credit,safety_critical_edge_case_coverage,physical_safety,logreg,worst_subgroup_auc,35,-0.1657532351679273,-0.4907151271918151,0.21887966377796064,-,True,False,False,0.027474134968633823,0.04031495312200152,0.20364868042048523,0.036481100498421605,0.04088044163527442,fraction
german_credit,safety_critical_edge_case_coverage,physical_safety,logreg,subgroup_auc_gap,35,0.06139401096331879,-0.23582313645138311,0.3507349691704434,+,True,False,False,0.00376922458216411,0.03473100938886127,0.009298679740738391,0.0346344901965438,0.03479664949365426,fraction
german_credit,safety_critical_edge_case_coverage,physical_safety,xgboost,downstream_auc,35,-0.5438323249778094,-0.7373269912624842,-0.20397867859861035,-,True,True,True,0.2957535976907699,0.01735293668244613,0.329546920491697,0.016931477528907137,0.020678101540225605,fraction
german_credit,safety_critical_edge_case_coverage,physical_safety,xgboost,downstream_ece,35,0.5717091250330211,0.2119086771863003,0.7757552790329554,+,True,True,True,0.32685132364602243,0.017744912364108783,0.25713245500136916,0.018641208038181725,0.021628099594889885,fraction
german_credit,safety_critical_edge_case_coverage,physical_safety,xgboost,downstream_brier,35,0.6343178250040186,0.3358731051093726,0.7884493961905031,+,True,True,True,0.40235910311782896,0.009065062925180929,0.3401998254149957,0.00952482229447463,0.011726021028735642,fraction
german_credit,safety_critical_edge_case_coverage,physical_safety,xgboost,worst_subgroup_auc,35,-0.17197793863207322,-0.4705732505879785,0.16508032245541823,-,True,False,False,0.02957641137613698,0.053924794083590924,0.04229205797863933,0.05357033565541067,0.054740381913355826,fraction
german_credit,safety_critical_edge_case_coverage,physical_safety,xgboost,subgroup_auc_gap,35,-0.3025555638393449,-0.579361126390819,-0.009011024085506027,+,False,True,False,0.09153986921014412,0.046413813162065345,0.017774172272890243,0.04826140803537275,0.04869611490216159,fraction
