dataset,injector,targets_subdimension,dose,seed,realized_dose,pretraining_score,threshold,risk_level,modality,context,targets_subdimension_post,dimension,model,n_train,n_test,units,downstream_auc,downstream_ece,downstream_brier,evaluator,worst_subgroup_auc,subgroup_auc_gap,n_subgroups_scored,evaluator_independent_of_pretraining_detector,harm_threshold,downstream_emh,downstream_harm_probability,downstream_mean_harm,n_prompts,n_generations
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.3,1,0.2999797857287244,0.1828,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.6438159955855951,0.0037792843693278473,0.09609051042723746,clean held-out test set (no pre-training detector reused),0.4923076923076922,0.3207357859531773,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.3,1,0.2999797857287244,0.1828,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324.0,25442.0,fraction,0.6775119640563039,0.0015334732763609181,0.09428128258349087,clean held-out test set (no pre-training detector reused),0.5671252371916509,0.26364399357757984,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.4,1,0.400040428542551,0.182,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.6446377046116485,0.0031960563520140517,0.09604745978959209,clean held-out test set (no pre-training detector reused),0.4923076923076923,0.30914158305462663,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.4,1,0.400040428542551,0.182,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324.0,25442.0,fraction,0.6778320283630724,0.002229473194898539,0.09434317431827136,clean held-out test set (no pre-training detector reused),0.59938330170778,0.19548849316401495,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.0,2,0.0,0.1728,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.6394700806610051,0.002429183478795948,0.09620687459323737,clean held-out test set (no pre-training detector reused),0.4366197183098592,0.30588028169014086,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.0,2,0.0,0.1728,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324.0,25442.0,fraction,0.6730781107290508,0.0020850863426756226,0.09455453364981793,clean held-out test set (no pre-training detector reused),0.4964788732394366,0.2850489045383412,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.03,2,0.0299076676033721,0.174,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.6398327895608779,0.0025111655602652353,0.09619995677167806,clean held-out test set (no pre-training detector reused),0.44366197183098594,0.2982824726134586,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.03,2,0.0299076676033721,0.174,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324.0,25442.0,fraction,0.6730582805647075,0.0023017212408899712,0.09452102893605055,clean held-out test set (no pre-training detector reused),0.5528169014084507,0.23621087636932703,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.05,2,0.0499799277398635,0.1752,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.6394818618824144,0.002830015429203523,0.09622054084071707,clean held-out test set (no pre-training detector reused),0.43661971830985913,0.30629694835680754,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.05,2,0.0499799277398635,0.1752,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324.0,25442.0,fraction,0.6738030376445711,0.0030403499217775323,0.09460863078269068,clean held-out test set (no pre-training detector reused),0.4894366197183099,0.3108411580594679,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.1,2,0.099959855479727,0.176,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.6401401142532256,0.0023305151088228093,0.09620221715669472,clean held-out test set (no pre-training detector reused),0.45774647887323944,0.2861424100156495,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.1,2,0.099959855479727,0.176,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324.0,25442.0,fraction,0.6736957599617901,0.0014919954753169619,0.09455850716841914,clean held-out test set (no pre-training detector reused),0.4894366197183099,0.30334115805946793,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.2,2,0.199919710959454,0.1784,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.6396526428419723,0.0028089061264159943,0.0962238568397202,clean held-out test set (no pre-training detector reused),0.43309859154929575,0.30523474178403753,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.2,2,0.199919710959454,0.1784,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324.0,25442.0,fraction,0.6720518120663923,0.0033889924785229573,0.09469454697525838,clean held-out test set (no pre-training detector reused),0.5246478873239437,0.245629890453834,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.3,2,0.3000802890405459,0.1804,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.6390218332369045,0.0034158023103069072,0.0962611990967671,clean held-out test set (no pre-training detector reused),0.4507042253521127,0.2929068857589983,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.3,2,0.3000802890405459,0.1804,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324.0,25442.0,fraction,0.6718357684645283,0.0029299897747579167,0.0947391983935143,clean held-out test set (no pre-training detector reused),0.528169014084507,0.268080985915493,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.4,2,0.400040144520273,0.184,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.6405122512469511,0.00309947375275512,0.09625873299741404,clean held-out test set (no pre-training detector reused),0.43661971830985913,0.3103247261345853,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.4,2,0.400040144520273,0.184,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324.0,25442.0,fraction,0.6701982877740047,0.0041651894687757315,0.09480716446703015,clean held-out test set (no pre-training detector reused),0.5352112676056338,0.2635387323943662,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.0,3,0.0,0.172,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.6463074434084121,0.0027164287350690767,0.09579875334686215,clean held-out test set (no pre-training detector reused),0.4821203953279425,0.24688454468617183,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.0,3,0.0,0.172,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324.0,25442.0,fraction,0.6756987857721556,0.0031408424834465233,0.09401417323681896,clean held-out test set (no pre-training detector reused),0.578796046720575,0.18108398150807703,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.03,3,0.0299633102323685,0.1728,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.6464746557175695,0.0035812609350549976,0.09579378906897072,clean held-out test set (no pre-training detector reused),0.48517520215633425,0.24471188323533832,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.03,3,0.0299633102323685,0.1728,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324.0,25442.0,fraction,0.6762965191306075,0.0020037954086747542,0.09397215205531494,clean held-out test set (no pre-training detector reused),0.5718390804597702,0.192451674656673,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.05,3,0.0499388503872808,0.1736,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.6464688118577432,0.003126335619851202,0.09579835763846209,clean held-out test set (no pre-training detector reused),0.4837376460017969,0.24350300325720087,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.05,3,0.0499388503872808,0.1736,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324.0,25442.0,fraction,0.6768544129486719,0.0013895948193750533,0.09406842713240378,clean held-out test set (no pre-training detector reused),0.5737646001796946,0.1820575593121897,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.1,3,0.1000815328169588,0.1732,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.6464104355939871,0.0028369708432924544,0.0958102073881906,clean held-out test set (no pre-training detector reused),0.4828391734052111,0.2433429014007169,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.1,3,0.1000815328169588,0.1732,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324.0,25442.0,fraction,0.6761594923054054,0.002295616992901775,0.09394826386485941,clean held-out test set (no pre-training detector reused),0.5919540229885057,0.15857526423802926,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.2,3,0.1999592335915206,0.1776,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.6460900829901338,0.002741361373033018,0.09583625848457585,clean held-out test set (no pre-training detector reused),0.4682839173405211,0.2557810085592672,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.2,3,0.1999592335915206,0.1776,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324.0,25442.0,fraction,0.6750264224278176,0.004019177683803559,0.09409384412394158,clean held-out test set (no pre-training detector reused),0.5718390804597702,0.17921949399329962,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.3,3,0.3000407664084794,0.18,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.646637753949409,0.003150569804985514,0.09580490442080704,clean held-out test set (no pre-training detector reused),0.47259658580413294,0.24899833303849234,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.3,3,0.3000407664084794,0.18,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324.0,25442.0,fraction,0.6755182027117161,0.002885920384578262,0.09402152347056565,clean held-out test set (no pre-training detector reused),0.5517241379310345,0.20021658189959368,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.4,3,0.3999184671830412,0.1836,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.6465110434847532,0.003470657573512209,0.0958528608607937,clean held-out test set (no pre-training detector reused),0.47349505840071876,0.252863445480721,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.4,3,0.3999184671830412,0.1836,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324.0,25442.0,fraction,0.6752735787393959,0.0031622405192386458,0.09409849948788962,clean held-out test set (no pre-training detector reused),0.5431034482758621,0.21166013676295237,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.0,4,0.0,0.1752,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.6496788674356553,0.009277605719172879,0.09620948953714482,clean held-out test set (no pre-training detector reused),0.5092879256965945,0.2550362275164476,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.0,4,0.0,0.1752,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324.0,25442.0,fraction,0.6750904321724462,0.004751755839083983,0.09470404350659184,clean held-out test set (no pre-training detector reused),0.568503937007874,0.21969050743657037,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.03,4,0.0299716484406642,0.1764,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.6495085539848837,0.00934552469859619,0.09620824422455886,clean held-out test set (no pre-training detector reused),0.505749668288368,0.25572548207567125,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.03,4,0.0299716484406642,0.1764,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324.0,25442.0,fraction,0.675567423595078,0.003725925344381086,0.09468097192060895,clean held-out test set (no pre-training detector reused),0.5958661417322835,0.1784394138232721,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.05,4,0.0500202511138112,0.1764,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.6497782598035775,0.00981799234566724,0.09623590342654051,clean held-out test set (no pre-training detector reused),0.5048651039363113,0.2556603788113937,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.05,4,0.0500202511138112,0.1764,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324.0,25442.0,fraction,0.6748373540829109,0.0031913196426138204,0.09457495353283715,clean held-out test set (no pre-training detector reused),0.5801181102362205,0.21443712876346288,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.1,4,0.1000405022276225,0.1788,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.6494187767143286,0.008352137624401835,0.09622158485204693,clean held-out test set (no pre-training detector reused),0.5030959752321982,0.25727122957945114,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.1,4,0.1000405022276225,0.1788,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,xgboost,76324.0,25442.0,fraction,0.6761440489318382,0.0033324988189610038,0.09458617286561989,clean held-out test set (no pre-training detector reused),0.5822834645669291,0.2093832020997375,12.0,,,,,,,
diabetes_130,edge_case_dropout,safety_critical_edge_case_coverage,0.2,4,0.200081004455245,0.182,0.1,high,tabular,health,safety_critical_edge_case_coverage,physical_safety,logreg,76324.0,25442.0,fraction,0.648973131755804,0.00923471759514177,0.09621790658456175,clean held-out test set (no pre-training detector reused),0.5037593984962406,0.2567660842514643,12.0,,,,,,,
