dataset,modality,context,injector,targets_subdimension,dimension,dose,realized_dose,seed,model,n_train,n_test,units,downstream_auc,downstream_ece,downstream_brier,evaluator,worst_subgroup_auc,subgroup_auc_gap,n_subgroups_scored
framingham,tabular,health,label_flip,label_integrity,content_safety,0.05,0.05,3,xgboost,3180,1060,fraction,0.643088593951872,0.04549409071739131,0.12964461740448996,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.1,0.1,3,logreg,3180,1060,fraction,0.7309225571546024,0.07307000176418253,0.12065898888519001,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.1,0.1,3,xgboost,3180,1060,fraction,0.6248281389259287,0.07229099270167218,0.13436464480548468,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.2,0.2,3,logreg,3180,1060,fraction,0.7232604895708827,0.14717608183196557,0.13820439706098106,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.2,0.2,3,xgboost,3180,1060,fraction,0.6044949875292769,0.13656949293008952,0.15091962872003867,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.3,0.3,3,logreg,3180,1060,fraction,0.7115428460884764,0.21552978088978864,0.16567322361121875,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.3,0.3,3,xgboost,3180,1060,fraction,0.6172558881849398,0.2106479402280079,0.1737248666610308,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.4,0.4,3,logreg,3180,1060,fraction,0.44696315436751666,0.2768007320928505,0.20766076453402466,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.4,0.4,3,xgboost,3180,1060,fraction,0.4727267702554253,0.2791875191524905,0.2255922610358665,clean held-out test set (no pre-training detector reused),,,
framingham,tabular,health,label_flip,label_integrity,content_safety,0.0,0.0,4,logreg,3180,1060,fraction,0.7300520246789048,0.019653313410975454,0.1161398634354795,clean held-out test set (no pre-training detector reused),0.7407407407407407,0.0,1.0
