dataset,modality,context,risk_level,injector,targets_subdimension,is_target,dose,realized_dose,seed,dimension,subdimension,pretraining_score,n_records,n_flagged,threshold,exceeds_threshold,detector,units
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.3,0,physical_safety,outcome_severity_exposure,0.10946753314815785,76324,8355,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.4,0,content_safety,label_integrity,0.18838051121383173,76324,8333,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.4,0,content_safety,representation_imbalance,0.6502036431154401,76324,494,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.4,0,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.4,0.4,0,physical_safety,safety_critical_edge_case_coverage,0.1824,76324,44,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.4,0,physical_safety,outcome_severity_exposure,0.1088517373303286,76324,8308,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,1,content_safety,label_integrity,0.19131927377757904,76324,8526,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,1,content_safety,representation_imbalance,0.6503346635022126,76324,497,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,1,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.0,0.0,1,physical_safety,safety_critical_edge_case_coverage,0.1736,76324,66,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,1,physical_safety,outcome_severity_exposure,0.11160316545254442,76324,8518,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.029917121487770367,1,content_safety,label_integrity,0.19112794074060316,76324,8526,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.029917121487770367,1,content_safety,representation_imbalance,0.650308459424858,76324,497,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.029917121487770367,1,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.03,0.029917121487770367,1,physical_safety,safety_critical_edge_case_coverage,0.1744,76324,64,0.1,True,stratum support vs declared minimum,fraction
